Cidades;Temperatura Máxima;Temperatura Miníma;Datas
Belo Horizonte,MG;19ºC;19ºC;Quinta-feira,2026-01-29 06:00:00
Belo Horizonte,MG;19ºC;19ºC;Quinta-feira,2026-01-29 09:00:00
Belo Horizonte,MG;24ºC;23ºC;Quinta-feira,2026-01-29 12:00:00
Belo Horizonte,MG;28ºC;28ºC;Quinta-feira,2026-01-29 15:00:00
Belo Horizonte,MG;28ºC;28ºC;Quinta-feira,2026-01-29 18:00:00
Belo Horizonte,MG;23ºC;23ºC;Quinta-feira,2026-01-29 21:00:00
Belo Horizonte,MG;20ºC;20ºC;Sexta-feira,2026-01-30 00:00:00
Belo Horizonte,MG;19ºC;19ºC;Sexta-feira,2026-01-30 03:00:00
Belo Horizonte,MG;18ºC;18ºC;Sexta-feira,2026-01-30 06:00:00
Belo Horizonte,MG;18ºC;18ºC;Sexta-feira,2026-01-30 09:00:00
Belo Horizonte,MG;21ºC;21ºC;Sexta-feira,2026-01-30 12:00:00
Belo Horizonte,MG;22ºC;22ºC;Sexta-feira,2026-01-30 15:00:00
Belo Horizonte,MG;23ºC;23ºC;Sexta-feira,2026-01-30 18:00:00
Belo Horizonte,MG;21ºC;21ºC;Sexta-feira,2026-01-30 21:00:00
Belo Horizonte,MG;19ºC;19ºC;Sábado,2026-01-31 00:00:00
Belo Horizonte,MG;18ºC;18ºC;Sábado,2026-01-31 03:00:00
